101	959	4	4.57
7157	102	3	21.44
466	101	14	30.77
1160	104	3	6.91
137	769	3	18.55
1770	102	3	7.97
104	2633	3	11.89
121	1235	5	34.14
103	1683	4	12.65
101	1035	7	16.34
12	112	133	73.69
102	1595	3	7.11
2333	112	3	18.24
12	186	12	4
447	102	8	15.9
6297	6902	3	72.92
1373	102	4	10.78
1896	7	4	23
12	226	55	206.71
101	4222	3	11.62
109	1062	3	10.67
424	110	4	10.94
562	103	4	4.98
109	926	3	9.91
1270	14	8	24.52
224	113	4	7.9
1620	12	3	5.15
238	389	3	22.64
119	1008	3	15.63
171	415	3	19.85
935	14	4	4.5
101	3449	6	30.67
116	5786	3	27
101	3501	3	8.99
104	2055	4	16.67
1248	105	4	12.42
1334	4405	4	71.37
3079	14	3	8.01
105	1122	5	16.81
105	1301	4	12.87
105	1241	6	23.89
101	1722	3	4.7
111	151	23	74.91
2	1334	3	11.53
102	252	10	13.24
8	860	5	23.69
2362	112	6	47.34
124	2373	3	22.76
101	1908	3	5.55
2698	159	3	29.69
110	217	6	12.69
2412	102	5	22.16
7503	113	3	30.46
198	105	9	10.22
2510	12	4	13.03
8139	106	3	23.68
391	117	3	8.63
1164	14	4	5.71
1658	106	3	9.57
4693	115	3	24.18
451	12	7	7.48
101	780	5	6.27
119	4517	3	26.57
7	2697	9	85.85
3052	104	3	12.72
105	2924	4	20.45
12	435	11	19.04
173	116	5	9.37
105	737	5	13.19
12	2152	5	16.56
515	2003	3	37.81
7945	102	3	21.44
101	3072	7	36.44
109	101	145	20.6
104	581	4	6.86
908	9	3	11.25
109	170	22	76.67
320	253	3	22.06
283	562	3	26.06
12	866	4	4.61
1329	12	3	4.13
303	281	4	31.78
1348	103	3	6.56
2508	14	4	12.26
472	105	4	5.73
8	305	3	5.26
110	681	4	14.7
899	12	8	20.08
101	1547	3	4.34
121	675	3	13.86
105	2008	3	10.39
422	112	24	171.89
513	108	4	10.7
150	102	35	58.12
108	334	6	15.36
101	3760	3	10.14
17	101	28	7.12
2072	102	3	9.01
3653	435	3	41.79
105	1710	6	28.26
393	108	4	8.47
105	1814	3	9.89
597	104	3	3.86
106	3884	5	34.11
465	1026	3	32.81
101	3963	3	10.14
104	1394	3	8.21
165	121	3	4.31
108	519	10	45.88
979	9	4	18.05
488	104	7	16.62
120	137	15	43.49
9	13	5	7.81
352	14	8	5.82
3102	106	4	20.65
1017	12	5	8.72
101	1345	4	6.95
12	686	6	8.88
402	105	4	4.74
550	5	3	24.28
2685	115	7	62.59
4851	106	3	17.03
105	871	5	14.6
114	1581	3	15.93
1333	102	5	15.82
237	101	27	55.13
128	161	8	27.58
343	7	11	46.75
104	276	11	22.84
106	2960	4	20.65
104	327	6	8.26
106	144	17	13.97
293	101	17	27.57
101	535	17	50.64
932	102	3	4.35
188	2794	4	47.23
137	2910	3	27.17
115	1686	3	16.47
108	7456	3	27.22
101	2664	5	18.29
450	14	8	9.01
105	956	7	26.62
4547	106	3	17.03
216	137	4	16.29
254	120	9	42.95
2161	106	3	11.11
867	120	3	15.11
417	14	9	10.41
2511	14	4	12.26
101	4000	4	16.77
104	1378	8	38.46
184	137	7	32.17
107	774	3	8.36
812	14	6	9.3
210	12	12	6.83
137	1441	3	22.35
101	1192	4	5.78
8	499	4	13.04
1563	203	3	29.72
127	282	3	10.07
106	1228	11	61.31
195	101	14	7.06
1104	101	4	5.45
105	3325	3	14.13
110	771	4	15.5
159	110	26	92.46
146	1940	3	26.4
277	117	3	6.59
1041	106	3	6.9
565	2403	5	72.98
106	5999	3	19.23
2172	171	5	56.29
107	945	3	9.46
659	14	9	18.01
311	12	18	35.69
257	111	5	11.93
106	2700	8	56.93
116	2375	3	19.35
1076	106	6	22.22
936	12	6	12.05
171	817	3	23.8
885	539	3	33.02
300	1205	5	57.8
116	955	4	20.58
143	207	10	61.23
845	104	8	29.58
117	116	22	27.21
1161	102	3	5.5
12	2815	3	8.57
104	937	4	10.02
544	205	3	23.55
624	110	3	8.82
106	972	3	6.42
101	732	7	12.06
784	12	5	6.98
731	103	5	10.4
1575	106	4	14.61
3920	14	3	10.07
12	1347	4	7.57
372	103	5	4.79
106	1845	3	10.03
487	102	4	3.93
106	5697	4	31.58
115	302	3	6.54
136	2238	3	24.82
125	381	3	11.91
185	223	3	16.43
955	112	6	33.99
101	3349	3	8.99
106	3522	4	22.14
258	525	4	36.41
107	336	9	29.94
12	5761	3	14.3
107	191	13	33.48
3924	104	3	14.9
258	272	3	20.93
4940	102	4	23.64
104	1962	5	22.49
613	103	4	5.68
483	12	7	7.95
110	382	4	10.14
103	961	3	4.71
103	1081	3	5.16
101	1637	3	4.7
132	109	10	5.22
1988	14	3	5.5
518	12	5	4.03
1572	12	4	8.54
212	176	8	56.97
101	944	7	15.08
1862	106	12	87.75
146	487	4	26.28
104	683	9	32.24
106	2615	3	12.46
110	312	3	4.9
126	453	4	19.74
126	571	4	21.65
110	4	6	12.22
1503	103	4	11.51
227	229	3	18.94
106	1660	4	15.22
106	1864	5	22.47
130	2338	3	24.04
101	1878	4	9.73
1492	12	4	8.03
112	1595	3	15.51
115	186	4	6.18
141	203	5	23.15
699	2	3	7.97
101	2388	4	11.34
434	102	10	23.34
102	1128	3	5.24
110	1589	3	13.95
680	12	6	8.88
101	743	7	12.06
1254	2494	3	44.13
1875	14	3	5.5
101	607	8	13.06
1114	14	5	8.71
12	152	53	87.92
1427	917	3	39.14
101	7008	3	18.16
116	208	3	4.67
1667	102	5	18
2390	102	3	9.62
101	2337	4	11.34
62	8	4	13.41
1507	101	3	4.01
568	1021	3	34.13
248	468	3	24.27
569	102	6	11.56
108	1001	11	68.27
101	3559	3	8.99
788	1636	5	71.91
