12	8427	15
15387	2103	14
112	1382	8
17	193	2
1441	3268	22
107	5457	0
35586	8365	23
103	5063	16
105	5296	5
108	6878	1
106	2959	3
195	2497	27
1786	5469	16
271	4664	3
303	8039	8
1912	8836	22
202	2780	8
101	6657	23
121	4537	31
860	1742	3
3773	3167	2
182	7252	0
7196	7037	11
368	8825	11
7649	126	5
3208	9732	2
7	176	11
10928	2684	4
741	7685	4
142	7751	24
106	4837	8
2029	9770	9
105	4605	2
10940	9213	18
3320	5346	4
180	2194	27
102	7925	18
552	8375	6
103	7314	15
102	3963	9
242	1268	8
262	8360	7
6903	588	13
1661	8878	7
101	4121	15
1986	7588	13
7930	6193	4
12	6065	3
157	8012	20
14	9754	32
987	3393	19
106	3134	12
4245	7072	14
118	5083	5
20685	2360	12
108	328	2
3346	4345	17
19980	545	0
778	535	2
3540	9122	20
3656	5095	18
28047	9688	16
7	7722	4
9498	2674	0
202	5127	12
136	8932	23
11999	8313	3
16	6937	12
10077	8069	2
34487	6925	17
142	8883	7
25825	5209	13
2327	5430	1
752	9041	21
24821	8316	6
26572	1981	43
101	6965	10
102	7485	7
147	13	7
14	4342	39
117	1992	6
124	4140	40
6973	6478	7
32833	1067	14
101	2497	35
236	1538	1
35094	8914	42
4548	6795	25
7	5382	1
12	3473	11
1099	5193	6
35563	2430	8
1024	9754	27
10	3868	1
14	7847	20
28097	4998	29
7	3728	2
12	5639	8
1289	113	10
104	7610	22
9198	2538	12
26462	8991	2
14	4401	22
630	9818	3
3750	105	16
7364	6924	4
102	4842	14
108	2074	25
317	4663	16
8	6386	8
170	388	18
101	5346	3
112	6793	17
101	9355	22
561	6760	39
103	4174	14
29945	6722	20
186	708	1
1221	5099	2
104	5407	13
434	2378	13
209	8501	20
12	675	10
101	9452	8
4883	9415	9
102	6017	28
141	4189	0
3842	16	13
1936	9146	19
2612	3133	12
12	8965	15
6501	8079	8
268	2980	2
12	2692	7
110	6826	18
14	6578	24
12	2030	13
109	3216	1
1783	3911	9
34838	2582	23
3777	1643	1
121	3007	2
126	9373	1
7	5982	10
14	2238	21
108	5210	11
818	3849	14
275	1621	18
1792	6822	19
31357	3937	3
123	4909	0
170	6708	4
1665	6411	9
398	9051	1
2326	3026	19
1612	9614	32
602	9679	11
2	3574	26
1369	3601	23
104	3822	16
114	7706	10
217	1240	2
19994	244	10
112	313	7
20611	6886	0
117	3915	8
216	5361	6
816	2378	36
134	9203	24
955	28	9
102	4144	19
14	7053	13
105	6281	12
117	3850	3
141	4522	0
1935	2898	9
943	993	7
1750	1799	8
301	1773	12
12	852	10
4306	9911	1
1123	766	21
477	8181	4
2853	824	0
11946	4677	2
158	5904	3
935	3186	13
858	7941	12
102	2771	6
33634	2424	21
955	2929	7
103	8501	19
21441	1508	13
24977	9191	1
9	7222	3
7665	8776	30
14	9542	7
376	9821	18
1765	6726	1
2800	8813	0
533	4321	27
105	9731	13
26658	2978	12
124	8210	18
4158	339	10
186	8177	5
103	4381	13
3349	1986	8
14	2871	11
1877	5359	18
302	2974	5
116	6168	9
25539	6587	15
215	3012	1
9	3134	34
2714	913	10
36543	777	36
2639	18	17
250	9401	5
15001	303	34
11025	9332	17
21668	7260	19
2152	7694	5
101	4673	4
283	6740	3
111	3512	9
709	5597	12
1864	611	27
2473	6318	11
1381	1925	7
7166	3337	3
977	2581	27
125	8329	7
108	2934	15
118	7275	18
107	9502	0
31720	1934	16
4458	8379	6
12	3203	3
2402	8667	12
102	9942	5
7334	8747	12
117	5538	12
337	1426	21
12	6773	27
143	9788	7
288	3264	35
101	2525	22
183	1354	7
4897	5224	7
17059	9836	12
4446	3335	8
104	8483	6
226	7191	31
1424	99	12
107	4749	0
1067	1258	1
298	648	2
103	7293	22
12	8889	21
137	5645	11
165	6017	8
4015	8749	2
2386	1012	22
127	4124	10
117	8889	11
29780	4511	17
980	6990	8
21	1822	22
515	2251	6
101	4744	8
9586	8363	13
12	1133	2
508	6129	25
3938	5505	12
318	9811	19
27022	1008	29
6426	9369	7
335	6286	13
570	3677	12
22069	3089	1
128	6246	8
106	4809	12
107	1072	2
239	4664	1
101	3042	3
12	9101	8
28497	2741	29
12681	4623	4
12	1957	23
118	8874	9
117	8715	44
7298	8307	17
6843	4852	1
155	5221	1
640	7866	6
1138	7073	26
106	2281	4
198	1237	19
20211	2974	2
26445	8022	28
4024	2235	9
15022	9557	6
251	5680	3
14	147	9
7	3057	1
14705	4412	1
35471	3772	11
29083	4173	18
296	58	8
14	80	20
18425	8106	13
101	3366	26
3314	1291	17
196	2810	19
106	7210	24
104	7509	15
5210	7901	3
110	4743	14
1605	7077	27
1383	8361	6
5579	6920	27
396	6426	45
121	7497	26
124	7826	2
29521	3179	16
773	1436	12
2123	395	14
1565	6016	26
3699	4997	6
629	8295	9
310	9500	24
2459	5180	9
309	1692	11
20397	1398	0
32894	3253	16
2	5335	11
12	85	19
1801	1134	10
30627	9201	12
14	4963	12
403	6036	8
9747	6140	0
101	5747	4
145	7870	11
102	7441	3
155	9779	1
1833	9697	10
116	13	5
706	6612	5
101	7764	9
29461	986	14
125	3486	12
14	9069	7
9583	5958	0
149	5496	0
2	3416	8
122	5289	8
107	2120	0
4424	5997	15
9530	5982	5
322	4031	11
469	5713	10
102	272	26
3277	3686	2
814	6442	13
426	2503	2
109	9273	33
781	9831	10
7543	2787	14
7	3174	27
106	2011	5
1485	4242	3
31146	5778	1
21151	7564	12
29209	2678	8
522	7224	5
137	483	10
1959	5481	12
143	7454	9
399	5772	14
905	3776	14
107	4451	0
