money	9209	4.1547514E-4
clinton	9207	4.1538491E-4
states	9096	4.1037702E-4
week	9059	4.087077E-4
least	9044	4.0803096E-4
school	9029	4.0735424E-4
genes	9012	4.0658726E-4
e	8953	4.039254E-4
real	8851	3.9932356E-4
figure	8784	3.9630075E-4
case	8760	3.9521797E-4
yes	8737	3.941803E-4
pretty	8722	3.9350355E-4
today	8691	3.9210496E-4
place	8648	3.9016496E-4
system	8647	3.9011985E-4
without	8634	3.8953332E-4
next	8605	3.8822496E-4
best	8563	3.8633007E-4
city	8559	3.8614962E-4
children	8530	3.8484123E-4
course	8512	3.8402915E-4
analysis	8458	3.8159286E-4
am	8414	3.7960775E-4
expression	8343	3.7640453E-4
cell	8330	3.75818E-4
group	8313	3.7505102E-4
set	8288	3.7392313E-4
again	8244	3.7193802E-4
called	8243	3.7189288E-4
public	8192	3.6959196E-4
small	8175	3.6882499E-4
gene	8097	3.6530592E-4
d	8096	3.652608E-4
let	8063	3.6377198E-4
ever	8051	3.632306E-4
went	8028	3.6219292E-4
whether	7997	3.607943E-4
m	7984	3.602078E-4
must	7890	3.5596688E-4
maybe	7876	3.5533524E-4
results	7870	3.5506455E-4
company	7869	3.5501944E-4
once	7850	3.541622E-4
guess	7841	3.537562E-4
although	7817	3.5267338E-4
days	7815	3.5258316E-4
anything	7791	3.5150038E-4
either	7775	3.5077851E-4
second	7769	3.5050782E-4
several	7755	3.4987618E-4
women	7717	3.4816176E-4
book	7702	3.4748504E-4
national	7700	3.473948E-4
control	7691	3.4698876E-4
doing	7669	3.459962E-4
enough	7660	3.4559015E-4
fact	7624	3.4396595E-4
having	7599	3.4283806E-4
love	7539	3.4013108E-4
human	7505	3.3859714E-4
until	7481	3.3751436E-4
far	7476	3.3728877E-4
man	7459	3.365218E-4
patients	7382	3.3304785E-4
service	7374	3.326869E-4
important	7287	3.287618E-4
among	7253	3.2722784E-4
united	7152	3.226711E-4
care	7146	3.2240042E-4
bad	7109	3.207311E-4
name	7080	3.1942275E-4
help	7052	3.181595E-4
away	7012	3.1635485E-4
done	6997	3.156781E-4
including	6959	3.1396368E-4
read	6942	3.131967E-4
feel	6936	3.1292601E-4
getting	6930	3.1265532E-4
program	6928	3.1256507E-4
yet	6906	3.115725E-4
white	6905	3.115274E-4
give	6899	3.112567E-4
business	6873	3.1008368E-4
report	6870	3.0994834E-4
stuff	6852	3.0913626E-4
country	6808	3.0715115E-4
example	6779	3.0584275E-4
whole	6771	3.0548184E-4
seems	6763	3.0512092E-4
problem	6747	3.0439906E-4
seen	6739	3.040381E-4
early	6566	2.9623302E-4
within	6554	2.9569163E-4
makes	6521	2.942028E-4
ago	6509	2.936614E-4
came	6493	2.9293954E-4
often	6426	2.8991673E-4
left	6421	2.8969118E-4
federal	6326	2.854051E-4
general	6307	2.8454792E-4
protein	6290	2.8378094E-4
almost	6235	2.8129955E-4
trying	6229	2.8102886E-4
water	6227	2.809386E-4
given	6221	2.806679E-4
rather	6209	2.8012652E-4
night	6181	2.7886327E-4
washington	6160	2.7791582E-4
keep	6156	2.7773538E-4
large	6131	2.7660746E-4
change	6130	2.7656235E-4
war	6122	2.762014E-4
true	6108	2.755698E-4
call	6099	2.7516374E-4
major	6062	2.7349446E-4
hard	6035	2.7227632E-4
site	6010	2.711484E-4
n	6010	2.711484E-4
tell	5999	2.7065212E-4
al	5995	2.7047165E-4
known	5944	2.6817073E-4
studies	5927	2.6740375E-4
health	5926	2.6735864E-4
someone	5897	2.6605028E-4
law	5861	2.6442608E-4
movie	5856	2.642005E-4
possible	5844	2.636591E-4
question	5842	2.635689E-4
told	5808	2.6203494E-4
already	5769	2.602754E-4
making	5730	2.5851585E-4
table	5713	2.5774888E-4
post	5682	2.563503E-4
area	5677	2.561247E-4
able	5672	2.5589913E-4
play	5671	2.55854E-4
based	5670	2.558089E-4
legal	5652	2.549968E-4
took	5649	2.5486146E-4
similar	5641	2.545005E-4
